person_id,FullDateUSA,min_reg_id,total_platelet_donations
52180647,07/06/2018,108542985,2
52191227,07/06/2018,108542632,1
52417496,07/06/2018,108543046,2
52114449,07/06/2018,108542963,2
52133367,07/06/2018,108542874,3
52507562,07/06/2018,108542475,1
52665224,07/06/2018,108542522,1
52720928,07/06/2018,108542360,3
52596553,07/06/2018,108542607,2
52810590,07/06/2018,108544918,1
52812448,07/06/2018,108542243,1
52854192,07/06/2018,108542947,1
52863954,07/06/2018,108543049,4
52884409,07/06/2018,108542352,1
52890341,07/06/2018,108542217,3
52908344,07/06/2018,108543028,1
52951593,07/06/2018,108542648,2
52954621,07/06/2018,108542324,2
54816313,07/11/2018,108558998,1
54721351,07/11/2018,108558945,1
54274253,07/11/2018,108559492,1
54090850,07/11/2018,108559912,2
54227105,07/11/2018,108559495,2
54349073,07/11/2018,108559490,1
54466578,07/11/2018,108559493,1
54112024,07/11/2018,108559444,1
54127401,07/11/2018,108557332,1
54140451,07/11/2018,108559695,2
54174697,07/11/2018,108559584,2
54182634,07/11/2018,108558664,1
53625974,07/11/2018,108558727,1
53327927,07/11/2018,108559489,2
53184116,07/11/2018,108557183,1
53017977,07/11/2018,108557161,1
52932992,07/11/2018,108557203,2
52894336,07/11/2018,108557237,1
52900452,07/11/2018,108557187,1
53023475,07/11/2018,108559711,1
52855449,07/11/2018,108559596,2
52636646,07/11/2018,108558061,2
52687120,07/11/2018,108557218,1
52270929,07/11/2018,108557359,1
51864931,07/11/2018,108557228,3
51800254,07/11/2018,108557224,1
51811720,07/11/2018,108560085,2
51778513,07/11/2018,108557257,2
50902697,07/11/2018,108560132,1
50645442,07/11/2018,108557137,2
50191815,07/11/2018,108557251,2
51066828,07/11/2018,108559504,2
51585535,07/11/2018,108559447,2
822253,07/11/2018,108558481,1
867610,07/11/2018,108559028,1
444634,07/11/2018,108560070,1
226738,07/11/2018,108559005,1
54169812,07/11/2018,108559446,1
54175478,07/11/2018,108559442,1
54071099,07/11/2018,108559526,2
53693497,07/11/2018,108558721,1
53885266,07/11/2018,108559969,1
54078762,07/11/2018,108559636,1
54104525,07/11/2018,108559494,2
54108042,07/11/2018,108559530,2
53401856,07/11/2018,108557175,2
53508777,07/11/2018,108559639,1
53179339,07/11/2018,108557514,2
53113225,07/11/2018,108557223,1
52981104,07/11/2018,108557168,3
53041820,07/11/2018,108557148,2
52817222,07/11/2018,108559029,1
52484151,07/11/2018,108559873,2
52720431,07/11/2018,108559940,2
52166270,07/11/2018,108559814,2
51874004,07/11/2018,108557235,2
51926596,07/11/2018,108557347,2
51784033,07/11/2018,108559534,2
51751493,07/11/2018,108559625,1
51118566,07/11/2018,108558526,1
51438819,07/11/2018,108557644,1
51690425,07/11/2018,108559858,2
1753366,07/11/2018,108557256,1
54342764,07/11/2018,108557180,1
54355315,07/11/2018,108559496,1
309826,07/11/2018,108558003,2
54257397,07/11/2018,108559491,1
54095188,07/11/2018,108559582,2
53910498,07/11/2018,108560084,1
53440043,07/11/2018,108559508,2
54017022,07/11/2018,108559006,1
54051569,07/11/2018,108557270,1
53648362,07/11/2018,108557307,2
53319496,07/11/2018,108562679,2
53410593,07/11/2018,108559635,1
52992767,07/11/2018,108559640,1
53017400,07/11/2018,108558000,2
53024936,07/11/2018,108557268,1
53146086,07/11/2018,108557179,1
52933150,07/11/2018,108559587,1
52559612,07/11/2018,108557339,2
52564457,07/11/2018,108559901,2
52583863,07/11/2018,108559852,2
52466522,07/11/2018,108557141,2
